Sentence,Type,Source
It’s time to clean the house now that spring is here.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"If you’re still hungry, have some carrots.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
Have some carrots if you’re still hungry.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
She bought herself a red dress even though she looks better in blue.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Even though she looks better in blue, she bought herself a red dress.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
They stayed at the beach until the sun went down.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Until the sun went down, they stayed at the beach.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
He called his mother because he missed her.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Since you’re getting paid today, let’s go out for drinks!",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
The passenger stepped off the train once it had reached the station.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
I would love to travel the world after I finish with school.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"If we let them, robots will take over the world.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
You have to do your homework whether you like it or not.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"While he enjoys skateboarding, surfing is really his favorite.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
We’re going to have to walk unless the bus shows up soon.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Now that she has graduated college, she’s going to have to pay her own expenses.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"You can call me anytime, even if it’s late.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
Financial advisors recommend having some savings in case there’s an emergency.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Even though books are expensive, they’re worth every penny.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Whenever she feels blue, she listens to her favorite song.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
People who want to get healthy should walk rather than drive.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Because they’re opportunistic sleepers, dogs take naps whenever they can.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Since finals week was around the corner, the library was very busy.",Complex,Siddhi
"The whiteboard was right next to her, but she didn't feel the need to use it.",Complex,Akshat
